item_name,Alias,Category,Shelf Life
Chocolate Truffle Cake (1 Kg),Chocolate Truffle Eggless Cake (1 Kg),Cakes,5 Days
Chocolate Truffle Cake (500 Gm),Chocolate Truffle Eggless Cake (500 Gms),Cakes,5 Days
Chocolate Truffle Cake & Red Rose,Chocolate Truffle Eggless Cake (500 Gms),Valenitne Menu,4 Days
Chocolate Truffle Cake & Teddy,Chocolate Truffle Eggless Cake (500 Gms),Cakes,5 Days
Chocolate Truffle Eggless Cake (1 Kg),Chocolate Truffle Eggless Cake (1 Kg),Cakes,5 Days
Chocolate Truffle Eggless Cake (500 Gms),Chocolate Truffle Eggless Cake (500 Gms),Cakes,5 Days
Chocolate Truffle Pastry,Chocolate Truffle Pastry,Desserts,5 Days
Chocolate Vanilla Cake (500 Gm),Chocolate Vanilla Cake (500 Gm),Cakes,4 Days
Christmas Apple Pie Tart,Christmas Apple Pie Tart,Christmas,3 Days
Christmas Butter Cookies [20 Pcs],Christmas Butter Cookies [20 Pcs],Christmas,7 Days
Christmas Theme Bento Cake (300 Gm),Christmas Theme Bento Cake (300 Gm),Christmas,3 Days
Christmas Theme Cup Cakes (6 Pcs),Christmas Theme Cupcakes [6 Pcs],Christmas,3 Days
Christmas Theme Ginger Bread Cookies [4 Pcs],Christmas Theme Ginger Cookies [4 Pcs],Christmas,7 Days
Christmas Theme Ginger Cookies [4 Pcs],Christmas Theme Ginger Cookies [4 Pcs],Christmas,7 Days
Christmas Theme Ginger Cookies [5 Pcs],Christmas Theme Ginger Cookies [4 Pcs],Christmas,7 Days
Christmas Tree Chocolate Croissant,Christmas Tree Chocolate Croissant,Christmas,3 Days
Classic Dairy Milk Eggless Cake (500 Gms),Classic Dairy Milk Eggless Cake (500 Gms),Cakes,5 Days
Classic Walnut Brownie,Classic Walnut Brownie,Desserts,10 Days
Coffee Mocha Tea Cake Pastry,Coffee Mocha Tea Cake Pastry,Desserts,3 Days
Congratulations Banner,Congratulations Banner,Addons,90 Days
Cupcake Bouquet (6 Pcs),Floral Cupcake Valentines Bouquet,Seasonal,5 Days
Cupid's Blush Valentines Cake Bouquet,Cupid's Blush Valentines Cake Bouquet,Valenitne Menu,2 Days
Curly Candle,Curly Candle,Addons,90 Days
D0012_1 Cheesecake Jars [Pack Of 2],Cheese Cake Jar,Cheesecakes,5 Days
D0012_2 Cheesecake Jars [Pack Of 2],Cheese Cake Jar,Cheesecakes,5 Days
Dark Chocolate & Salted Caramel Tub,Dark Chocolate & Salted Caramel Tub,Desserts,3 Days
Dates & Walnut Tea Cake,Sugarfree Date & Walnut Whole Wheat Cake (200 Gms),Cakes,6 Days
Death By Chocolate Cookie,Death By Chocolate Cookie,Cookies,15 Days
Dense Chocolate Tea Cake,Dense Chocolate Tea Cake (200 Gms),Cakes,6 Days
Dubai Viral Chocolate Kunafa,Chocolate Kunafa Jar,Desserts,4 Days
Dubai Viral Chocolate Kunafa Bar,Dubai Viral Chocolate Kunafa Bar,Cookies,15 Days
Dubai Viral Kunafa Cheesecake Slice,Dubai Viral Kunafa Cheesecake Slice,Cheesecakes,4 Days
Dubai Viral Kunafa Chocolate & Red Rose,Dubai Viral Chocolate Kunafa Bar,Valenitne Menu,4 Days
Dubai Viral Kunafa Chocolate & Teddy,Dubai Viral Chocolate Kunafa Bar,Cookies,15 Days
Dubai Viral Kunafa Cookie,Dubai Viral Kunafa Cookie,Cookies,15 Days
Easter Theme Cupcakes (4 Pcs),Easter Theme Cupcakes (4 Pcs),Seasonal,5 Days
Easter Treasure Eggs (4 Pcs),Easter Treasure Eggs (4 Pcs),Seasonal,7 Days
Eggless Biscoff Brownie,Base Brownie,Desserts,10 Days
Eggless Nutella Brownie,Base Brownie,Desserts,10 Days
Elegant Gifting Hamper,Elegant Gifting Hamper,Hampers,30 Days
Exotic Pineapple Cake (500 Gm),Pineapple Eggless Cake (500 Gms),Cakes,4 Days
